sensor_readings,sensor_readings/ldr,sensor_readings/soil_moisture,sensor_readings/temperature
,,,
,1409,536,25.9375
,1403,535,25.9375
,1395,535,25.9375
,1405,538,25.9375
,1399,538,25.9375
,1407,542,25.9375
,1414,545,25.9375
,1412,547,25.9375
,1419,546,25.9375
,1389,548,25.9375
,1398,551,25.9375
,1399,545,25.9375
,1394,561,25.9375
,1405,543,25.9375
,1402,543,25.9375
,1409,543,25.9375
,1414,535,25.875
,1437,541,26
,1427,544,26
,1404,541,26
,1397,538,25.9375
,1403,539,25.875
,1414,540,25.9375
,1418,537,25.9375
,1390,535,25.9375
,1392,537,25.875
,1390,533,25.875
,1385,529,25.9375
,1415,542,25.875
,1409,540,25.875
,1411,538,25.9375
,1412,537,25.9375
,1413,539,25.9375
,1409,539,25.9375
,1394,545,25.9375
,1392,540,25.9375
,1375,542,25.9375
,1427,537,25.875
,1453,540,25.875
,1405,539,25.875
,1405,540,25.9375
,1409,543,25.875
,1418,536,25.875
,1421,538,25.9375
,1421,537,25.875
,1420,535,25.875
,1414,540,25.9375
,1425,540,25.875
,1411,539,25.9375
,1454,541,25.875
,1429,539,25.875
,1412,543,25.9375
,1410,542,25.875
,1357,541,25.875
,1423,542,25.9375
,1399,536,25.9375
,1389,538,25.9375
,1407,539,25.9375
,1392,537,25.9375
,1451,540,25.9375
,1373,541,25.875
,1379,543,25.9375
,1385,542,25.875
,1455,545,25.875
,1456,543,25.9375
,1369,544,25.9375
,1379,544,25.875
,1456,543,25.9375
,1457,542,25.9375
,1404,540,25.9375
,1405,543,25.875
,1381,546,25.9375
,1392,543,25.875
,1397,543,25.875
,1360,544,25.9375
,1369,543,25.9375
,1387,542,25.9375
,1372,541,25.875
,1406,542,25.9375
,1454,542,25.875
,1466,539,25.9375
,1379,542,25.9375
,1384,541,25.9375
,1381,542,25.875
,1372,541,25.9375
,1382,545,25.875
,1383,547,25.875
,1385,548,25.9375
,1381,548,25.875
,1379,545,25.875
,1385,543,25.9375
,1379,543,25.875
,1380,543,25.9375
,1379,546,25.875
,1379,546,25.9375
,1381,540,25.875
,1392,539,25.9375
,1384,539,25.9375
,1381,538,25.9375
,1392,540,25.9375
,1390,543,25.9375
,1392,543,25.9375
,1375,543,25.9375
,1380,544,25.875
,1392,545,25.9375
,1392,543,25.875
,1365,544,25.9375
,1379,543,25.9375
,1375,540,25.9375
,1361,540,25.875
,1377,540,25.875
,1377,537,25.9375
,1365,543,25.875
,1358,537,25.9375
,1372,536,25.9375
,1367,536,25.9375
,1365,539,25.9375
,1388,537,25.9375
,1377,539,25.9375
,1392,541,25.9375
,1375,540,25.9375
,1382,543,25.9375
,1378,544,26
,1419,543,25.9375
,1396,542,25.9375
,1392,544,25.9375
,1414,541,25.9375
,1401,539,25.875
,1399,539,25.9375
,1392,535,25.875
,1392,536,25.9375
,1397,538,25.9375
,1405,536,25.9375
,1390,536,25.875
,1405,539,25.9375
,1379,540,25.875
,1395,538,25.875
,1392,537,25.9375
,1392,540,25.875
,1392,539,25.875
,1389,536,25.875
,1393,536,25.9375
,1370,536,25.875
,1392,536,25.9375
,1397,538,25.875
,1370,540,25.875
,1425,542,25.9375
,1424,544,25.875
,1406,541,25.875
,1408,542,25.9375
,1414,543,25.9375
,1394,539,25.9375
,1405,539,25.9375
,1395,539,25.9375
,1401,533,25.875
,1405,535,25.9375
,1399,535,25.875
,1402,535,25.875
,1401,534,25.9375
,1409,538,25.9375
,1413,538,25.9375
,1414,537,25.9375
,1435,535,25.875
,1420,534,25.9375
,1424,520,25.875
,1419,531,25.9375
,1424,532,25.9375
